% wavelengths for 4STARB NIR spectrometer (512 channels) derived from 96228_B130251L03_771_test-cert_20141015-120501.pdf and recorded on 2017-10-03 23:03:03.
% C0 (TOA Counts) for 4STARB NIR spectrometer (512 channels) derived from the Ames Rooftop comparison and recorded on 2017-10-03 23:03:03.
% See 4STARB_20170513.ipynb for details of the rooftop comparison and c0 file generation. Yohei Shinozuka
Pix Wavelength C0 C0err
271 1386.92  1.7152461      1e+10
270 1385.49  1.4014786      1e+10
269 1384.06  1.0265448      1e+10
268 1382.63 0.72011062      1e+10
267 1381.20    0.48753      1e+10
266 1379.76 0.31360254      1e+10
265 1378.33 0.20548101      1e+10
264 1376.89 0.17198253      1e+10
263 1375.46 0.11557144      1e+10
262 1374.02 0.11036727      1e+10
261 1372.58 0.12339039      1e+10
260 1371.14   0.124239      1e+10
259 1369.70 0.10862324      1e+10
258 1368.25 0.13524621      1e+10
257 1366.81 0.11421304      1e+10
256 1365.37 0.12497723      1e+10
255 1363.92 0.11335848      1e+10
254 1362.47 0.12944875      1e+10
253 1361.03 0.11399708      1e+10
252 1359.58 0.13255088      1e+10
251 1358.13 0.10999647      1e+10
250 1356.67 0.12560497      1e+10
249 1355.22 0.12051445      1e+10
248 1353.77   0.133015      1e+10
247 1352.31 0.11198286      1e+10
246 1350.86 0.14451366      1e+10
245 1349.40 0.11563581      1e+10
244 1347.94 0.13327806      1e+10
243 1346.48 0.11238147      1e+10
242 1345.02 0.12321943      1e+10
241 1343.56 0.11425614      1e+10
240 1342.10 0.13657402      1e+10
239 1340.63 0.13205913      1e+10
238 1339.17 0.12465049      1e+10
237 1337.70 0.13958117      1e+10
236 1336.23 0.13551941      1e+10
235 1334.76 0.11228156      1e+10
234 1333.29 0.13254555      1e+10
233 1331.82 0.11750413      1e+10
232 1330.35 0.14455327      1e+10
231 1328.87 0.12891687      1e+10
230 1327.40 0.14780635      1e+10
229 1325.92 0.11056015      1e+10
228 1324.45 0.13462316      1e+10
227 1322.97 0.12766218      1e+10
226 1321.49 0.12109929      1e+10
225 1320.01 0.11942317      1e+10
224 1318.52 0.14015335      1e+10
223 1317.04   0.145343      1e+10
222 1315.56   0.155942      1e+10
221 1314.07 0.16851311      1e+10
220 1312.58 0.18219314      1e+10
219 1311.10 0.16612844      1e+10
218 1309.61 0.16507959      1e+10
217 1308.12 0.18194273      1e+10
216 1306.62 0.19586745      1e+10
215 1305.13 0.22003894      1e+10
214 1303.64 0.25239446      1e+10
213 1302.14 0.24572791      1e+10
212 1300.64 0.28154801      1e+10
211 1299.14 0.29421445      1e+10
210 1297.64 0.30073263      1e+10
209 1296.14 0.27994672      1e+10
208 1294.64 0.28012576      1e+10
207 1293.14 0.23938058      1e+10
206 1291.63 0.25268887      1e+10
205 1290.13 0.25534503      1e+10
204 1288.62 0.24969609      1e+10
203 1287.11 0.25403483      1e+10
202 1285.60 0.28370292      1e+10
201 1284.09 0.27377742      1e+10
200 1282.58 0.27289833      1e+10
199 1281.06 0.31782403      1e+10
198 1279.55 0.36467313      1e+10
197 1278.03 0.36310408      1e+10
196 1276.51  0.3718504      1e+10
