Wavelength,Lamps-01,Lamps-02,Lamps-03,Lamps-04,Lamps-05,Lamps-06,Lamps-07,Lamps-08,Lamps-09,Lamps-10,Lamps-11,Lamps-12
1260,45.843295,86.121958,125.440518,166.109193,206.256924,245.108833,284.85043,323.632147,362.948012,402.358112,443.417633,483.379393
1270,45.128563,84.772915,123.780072,163.879309,203.471565,241.769532,281.007386,319.231418,357.430616,396.945939,437.66934,476.585192
1280,44.599817,84.024233,122.166878,161.524683,200.528113,238.287053,277.239631,314.731638,353.018827,391.481619,431.339294,470.377153
1290,43.991357,82.623647,120.514642,159.098874,197.866334,234.764273,273.283652,310.289631,347.965652,385.828016,425.013049,463.141617
1300,43.012379,80.886051,117.705529,155.889719,193.253907,229.85278,267.550742,303.564511,340.929528,377.681547,416.039321,453.348272
1310,42.051899,78.928092,115.023329,152.147209,188.990627,224.591886,261.382193,296.785638,333.017055,368.993481,406.252037,443.048712
1320,40.600028,76.407578,111.623427,147.649336,183.395591,217.849385,253.597508,287.799133,322.917103,357.787841,394.390268,429.935056
1330,39.143592,73.802646,107.729886,142.543419,177.153398,210.306472,244.78344,277.947101,311.91664,345.654964,380.977249,414.980008
1340,36.844515,69.883129,101.789623,134.746042,167.357689,199.031939,231.827491,263.398865,295.24325,327.187729,360.569023,393.019539
1350,32.632475,61.808098,90.490004,119.65799,148.81412,177.039144,206.144542,235.161158,263.189732,290.943413,321.371439,350.271839
1360,27.9785,53.173285,77.858395,102.667554,128.036518,153.170325,178.170116,203.832618,227.905644,251.333798,278.225008,303.115256
1370,26.653311,50.586455,74.407665,98.182016,122.659159,146.225155,170.518909,195.065007,218.358745,240.655735,266.449439,290.104752
1380,25.112983,48.208302,70.490468,92.90896,116.031816,138.64843,161.531157,184.774525,206.742133,228.174231,252.240578,274.609447
1390,23.118073,44.142302,64.873404,85.706914,106.939227,127.72133,148.44921,169.909263,189.982086,209.498511,232.265062,252.488959
1400,20.535571,39.49075,58.344077,77.191519,96.318994,114.920543,133.805849,152.798803,171.262827,188.800963,208.943958,227.223015
1410,18.430064,35.704456,52.368451,69.620974,86.905335,103.581289,120.702116,137.736944,154.180814,170.574911,188.284781,204.93732
1420,16.919039,33.205034,49.078566,65.271673,81.460055,97.256675,113.415855,129.107669,144.841129,160.381051,176.968793,192.59014
1430,15.900831,31.410158,46.343747,61.763781,77.020912,92.063313,107.430563,122.409072,137.237202,152.042538,167.752864,182.744831
1440,15.216541,30.086202,44.480851,59.482776,74.196124,88.631531,103.579242,117.945499,132.484576,146.732061,162.022105,176.635151
1450,14.684583,29.188023,43.193047,57.545978,71.978563,86.033443,100.40984,114.438127,128.702453,142.809081,157.513278,171.70463
1460,14.369453,28.583481,42.376262,56.672227,70.776147,84.534302,98.745281,112.485944,126.637633,140.563472,155.167072,169.160631
1470,14.44961,28.494618,42.204241,56.324025,70.448732,84.095246,98.336169,112.061783,126.116957,139.939469,154.579983,168.511461
1480,14.487306,28.634538,42.401961,56.659142,70.854487,84.720935,98.88134,112.702951,126.863754,140.853568,155.448275,169.605032
1490,14.77398,29.023239,42.977273,57.416915,71.866956,85.895812,100.216527,114.154189,128.449587,142.676138,157.50488,171.771667
1500,15.087052,29.59872,43.735874,58.372832,72.990613,87.124656,101.713555,115.923681,130.44186,144.961995,159.96651,174.555662
1510,15.286198,30.059716,44.343472,59.154721,73.980262,88.405993,103.141173,117.486893,132.159662,146.845942,161.982666,176.843099
1520,15.551182,30.370107,44.847962,59.832798,74.694507,89.372859,104.264299,118.741272,133.604758,148.372428,163.686,178.638989
1530,15.705748,30.711408,45.146226,60.380737,75.269744,90.003728,104.992327,119.550007,134.460962,149.418068,164.81227,179.807107
1540,15.725884,30.735856,45.363075,60.588424,75.586303,90.276889,105.260178,119.881963,134.8869,149.831873,165.261479,180.3918
1550,15.739659,30.713165,45.321761,60.477515,75.520122,90.119656,105.057417,119.606134,134.652068,149.465138,164.837141,179.887319
1560,15.664604,30.502973,44.884444,59.960027,74.780619,89.328915,104.151652,118.516126,133.350795,148.170562,163.447271,178.380421
1570,15.51357,30.151959,44.455418,59.295764,73.96346,88.357995,103.044656,117.321972,131.969172,146.499257,161.70308,176.371251
1580,15.426538,29.928745,44.076874,58.766379,73.431974,87.598048,102.193266,116.310266,130.751947,145.256253,160.254228,174.899906
1590,15.264269,29.670029,43.781126,58.330441,72.816011,86.922306,101.333245,115.432413,129.777103,144.082647,159.017206,173.441194
1600,15.230112,29.632619,43.64906,58.155086,72.658556,86.622267,101.043891,115.041112,129.329588,143.670799,158.49943,172.914679
1610,15.279693,29.575126,43.538035,58.006332,72.29225,86.364927,100.744497,114.635233,128.912083,143.217355,158.000686,172.353686
1620,15.222785,29.55339,43.5864,58.03823,72.407157,86.388993,100.725272,114.696371,129.001113,143.281188,158.031208,172.364149
1630,15.249939,29.63328,43.59655,58.010104,72.433982,86.393305,100.745476,114.69248,128.930882,143.191326,157.957182,172.310555
1640,15.213753,29.482315,43.424517,57.822382,72.198313,86.06848,100.317215,114.205102,128.395172,142.659185,157.269488,171.563671
1650,15.121084,29.371434,43.243982,57.538746,71.830357,85.644684,99.809836,113.629615,127.765543,141.813132,156.49321,170.629138
1660,15.021758,29.146931,42.915207,57.13213,71.268108,84.812037,98.979496,112.584278,126.712446,140.627196,155.060301,169.090146
1670,14.901487,28.723241,42.358841,56.352273,70.337822,83.816168,97.693296,111.218516,125.04293,138.817478,153.081754,166.881501
1680,14.475193,28.009361,41.271946,54.966998,68.512513,81.749029,95.29732,108.450561,121.876713,135.305982,149.197263,162.666369
1690,13.891167,26.928934,39.744748,52.876732,65.966827,78.687412,91.677876,104.339645,117.308275,130.256004,143.619471,156.539219
1700,13.198291,25.672583,37.816791,50.458795,62.897398,74.984668,87.359016,99.281363,111.710505,124.166993,136.943425,149.241692
1710,12.60381,24.498778,35.99608,48.104586,59.969733,71.520773,83.375456,94.789669,106.540545,118.373116,130.515641,142.251156
1720,12.131827,23.729557,34.965106,46.586114,58.140075,69.280298,80.763746,91.825659,103.335501,114.68688,126.426896,137.806707
1730,11.823935,23.158405,34.195251,45.534644,56.894739,67.744523,78.96606,89.795807,100.999715,112.087782,123.527179,134.731858
1740,11.636215,22.532349,33.307659,44.471719,55.486692,66.145592,77.113077,87.664782,98.592027,109.476794,120.607524,131.591915
1750,11.222767,21.925045,32.424496,43.165743,53.935095,64.319669,74.930739,85.253367,95.884977,106.371032,117.346529,127.977672
1760,10.789274,21.23719,31.371909,41.920162,52.322987,62.351912,72.794361,82.693671,92.999376,103.287668,113.828837,124.097339
1770,10.608,20.691614,30.64347,40.834365,51.006496,60.782299,70.925953,80.679174,90.681019,100.727041,111.017297,121.00216
1780,10.320662,20.203627,29.907838,39.926543,49.847659,59.373187,69.235019,78.877819,88.636562,98.516433,108.472536,118.281583
1790,9.970667,19.673349,29.009425,38.705605,48.339329,57.621287,67.199646,76.549835,86.058422,95.531374,105.297996,114.742756
1800,9.586363,18.916517,28.00559,37.393184,46.600916,55.51474,64.928738,73.891929,83.072142,92.099209,101.610084,110.729251
1810,9.223549,18.069239,26.847505,35.82462,44.615523,53.193951,62.25952,70.8103,79.618992,88.317767,97.505482,106.161728
1820,8.789585,17.263034,25.560208,34.080512,42.487874,50.692127,59.32491,67.533846,76.059705,84.339677,93.055458,101.321843
1830,8.365496,16.366243,24.282393,32.393425,40.413807,48.206031,56.518725,64.3295,72.485852,80.378526,88.75543,96.514856
1840,7.976166,15.614267,23.192897,31.009617,38.672379,46.144541,54.122259,61.521795,69.474101,76.898123,85.00368,92.462478
1850,7.599677,14.909055,22.0866,29.611463,36.930081,43.989239,51.702656,58.792518,66.289919,73.479928,81.19645,88.329979
1860,7.086252,14.07037,20.824798,27.904409,34.895026,41.568842,48.796274,55.472506,62.685491,69.440811,76.728891,83.485838
1870,6.419667,12.731792,18.915438,25.384661,31.725566,37.86262,44.474215,50.522944,57.088001,63.109885,69.872852,75.993887
1880,5.485522,11.159232,16.726173,22.412873,28.086428,33.435748,39.2389,44.688426,50.346636,55.825421,61.688591,67.118531
1890,4.544948,9.41635,14.089436,18.972246,23.659911,28.401922,33.295126,37.931166,42.820079,47.557461,52.50312,57.051365
1900,3.617005,7.675968,11.671171,15.727261,19.700164,23.643429,27.763916,31.643742,35.635338,39.717423,43.894786,47.72736
1910,2.993319,6.35903,9.790817,13.169515,16.639737,19.951686,23.446156,26.743992,30.061322,33.550928,37.147245,40.434743
1920,2.515374,5.64784,8.630566,11.745985,14.747963,17.747822,20.897676,23.87488,27.020556,30.066544,33.292701,36.231604
1930,2.388087,5.334766,8.189762,11.201265,14.076178,16.96106,20.004052,22.839699,25.811057,28.674799,31.787086,34.652955
1940,2.304832,5.326879,8.098627,11.073641,13.988813,16.804056,19.751657,22.625064,25.554155,28.494382,31.474836,34.38826
1950,2.410219,5.306325,8.059514,11.106677,14.014518,16.787784,19.767556,22.669515,25.656002,28.466686,31.544218,34.553348
1960,2.473201,5.4568,8.372255,11.44248,14.374942,17.305843,20.29949,23.261104,26.304925,29.335328,32.421425,35.392614
1970,2.57342,5.700816,8.650842,11.796278,14.960089,17.871205,20.996083,24.045347,27.209882,30.333572,33.574399,36.774709
