Wavelength,Lamps-00,Lamps-01,Lamps-02,Lamps-03,Lamps-04,Lamps-05,Lamps-06,Lamps-07,Lamps-08,Lamps-09,Lamps-10,Lamps-11,Lamps-12
1070.000000,0.000000,63.616220,119.703820,173.977258,229.801925,285.012949,338.638444,394.059293,448.770316,503.205815,557.588043,614.352929,669.181887
1080.000000,0.000000,62.890022,118.302377,171.729842,227.194680,281.814535,334.681013,389.425027,443.534217,497.268685,551.097570,607.301609,661.406310
1090.000000,0.012044,62.067370,116.647053,169.720696,224.556359,278.415979,330.893424,384.903319,438.478727,491.610738,544.878306,600.240673,653.510401
1100.000000,0.000000,61.352747,115.140727,167.580215,221.470521,274.727478,326.741777,379.990851,432.671343,485.222826,537.434447,592.266305,645.084869
1110.000000,0.000000,60.214687,112.829535,163.830657,216.538064,268.955351,319.380261,371.685269,423.376225,474.559730,526.026257,579.025719,631.525602
1120.000000,0.097960,57.965839,109.052600,158.350100,209.170414,259.891440,308.787672,359.612720,409.603619,458.832827,509.057019,559.577102,611.378197
1130.000000,0.033646,56.577091,106.426491,154.644667,204.433727,253.890597,301.552920,351.213298,400.114534,448.216108,497.482028,546.590785,597.086427
1140.000000,0.056200,55.471195,104.359429,151.838858,200.809025,249.375375,296.364271,344.934994,392.996575,440.260811,488.603134,536.974135,586.483795
1150.000000,0.151900,54.052817,101.587080,147.859341,195.577604,242.873559,288.635529,335.736022,382.512323,428.837625,475.493907,523.107009,570.779544
1160.000000,0.000000,52.822787,99.606082,145.114894,191.888038,238.353220,283.202912,329.541790,375.340169,421.073094,466.387350,513.326044,559.688189
1170.000000,0.029836,51.578708,97.585582,141.926998,187.798933,233.288249,277.179266,322.349410,367.262932,412.091942,456.406809,502.602411,547.769986
1180.000000,0.078897,50.164870,94.580768,137.847677,182.429061,226.523036,269.145254,313.081461,356.840311,400.161643,443.205575,488.503966,532.248841
1190.000000,0.039130,48.237580,91.368353,133.110954,176.021437,218.521300,259.841732,302.406637,344.440825,386.393545,428.038005,471.391301,514.064478
1200.000000,0.007960,46.964433,88.555232,128.974761,170.950663,212.307106,252.560975,293.600213,334.367335,375.206342,415.623454,458.306488,499.009830
1210.000000,0.109908,46.272468,87.678057,127.593242,168.792699,209.957260,249.595211,290.171928,330.657471,370.896253,410.935763,452.794429,493.527782
1220.000000,0.055755,46.328491,87.358852,127.370578,168.503025,209.650819,248.987560,289.604503,329.979286,370.112171,409.935350,451.896603,492.253144
1230.000000,0.040627,46.144951,86.860550,126.706810,167.661482,208.375630,247.478559,288.015739,328.153044,368.048932,407.853740,449.358051,489.651950
1240.000000,0.033166,45.521709,86.201791,125.579319,166.272357,206.808390,245.669830,285.596358,325.459917,364.866010,404.577932,445.675572,485.446292
1250.000000,0.053326,45.052715,85.422592,124.311873,164.621115,204.499205,243.236593,282.956381,322.302434,361.635670,400.620396,441.556970,480.799534
1260.000000,0.077253,44.660191,84.260211,122.790045,162.688514,202.196125,240.241124,279.439363,318.341137,357.231115,395.726223,435.962086,475.055119
1270.000000,0.022879,44.154067,83.240931,121.371738,160.675314,199.607814,237.023483,275.878101,314.104676,352.570601,390.771074,430.479105,468.841188
1280.000000,0.044724,43.171389,81.933118,119.312421,157.923800,196.202384,233.011091,271.166982,308.865719,346.701228,384.134321,423.145617,461.097354
1290.000000,0.026038,42.462620,80.393750,117.259249,155.356124,192.915841,229.384411,266.691078,303.916684,340.920395,377.654703,416.092131,453.326477
1300.000000,0.127748,41.692396,78.796077,114.894464,152.371338,188.913310,224.944649,261.501903,297.767012,334.207106,370.425819,407.993324,444.378898
1310.000000,0.102530,40.788165,76.957264,112.251996,148.485821,184.688808,219.593633,255.262504,290.992671,326.463476,361.631174,398.528000,433.921981
1320.000000,0.050698,39.554800,74.864467,108.972855,144.580269,179.505238,213.356192,248.089976,282.835610,317.311908,351.652672,387.520649,421.964727
1330.000000,0.000000,38.120793,72.285348,105.315739,139.624025,173.393062,206.087878,239.791823,273.090954,306.504954,339.581873,374.133734,407.641873
1340.000000,0.207450,36.224142,68.387617,100.164427,132.633680,164.852093,196.085246,227.827082,259.840965,291.488331,323.004762,355.813908,387.921467
1350.000000,0.032717,32.655197,61.873480,90.666828,119.716104,149.334340,177.274199,205.912993,235.726126,264.262240,292.318267,321.877181,352.277484
1360.000000,0.053004,28.491403,53.975480,79.448405,105.119421,131.695885,156.019074,180.683740,208.062021,232.459903,257.081719,283.121829,311.617870
